Fri Jul 31 19:32:53 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 18161, 'Left_wheel_dist': -3523, 'Right_wheel_dist': 4600, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 11.68}
{'Time': 18257, 'Left_wheel_dist': -3571, 'Right_wheel_dist': 4648, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 2.04, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 4.86}
{'Time': 18354, 'Left_wheel_dist': -3624, 'Right_wheel_dist': 4705, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.04, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 12.47}
{'Time': 18460, 'Left_wheel_dist': -3676, 'Right_wheel_dist': 4764, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.06, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 11.84}
{'Time': 18557, 'Left_wheel_dist': -3726, 'Right_wheel_dist': 4814, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 2.07, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 5.85}
{'Time': 18655, 'Left_wheel_dist': -3772, 'Right_wheel_dist': 4869, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.07, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 3.56}
{'Time': 18761, 'Left_wheel_dist': -3826, 'Right_wheel_dist': 4932, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 2.08, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': 0.72, 'IMU_Acc_z': 8.12}
{'Time': 18857, 'Left_wheel_dist': -3872, 'Right_wheel_dist': 4982, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 2.08, 'IMU_Acc_x': 1.19, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 7.38}
{'Time': 18953, 'Left_wheel_dist': -3925, 'Right_wheel_dist': 5032, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.51, 'IMU_Acc_z': 12.86}
{'Time': 19061, 'Left_wheel_dist': -3977, 'Right_wheel_dist': 5091, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.09, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 7.42}
{'Time': 19161, 'Left_wheel_dist': -3983, 'Right_wheel_dist': 5146, 'IMU_roll': 0.08, 'IMU_pitch': 0.12, 'IMU_yaw': 2.12, 'IMU_Acc_x': 6.02, 'IMU_Acc_y': -2.05, 'IMU_Acc_z': 28.71}
{'Time': 19261, 'Left_wheel_dist': -3988, 'Right_wheel_dist': 5196, 'IMU_roll': 0.13, 'IMU_pitch': 0.13, 'IMU_yaw': 2.19, 'IMU_Acc_x': 2.18, 'IMU_Acc_y': 3.59, 'IMU_Acc_z': 5.90}
{'Time': 19360, 'Left_wheel_dist': -3990, 'Right_wheel_dist': 5237, 'IMU_roll': 0.13, 'IMU_pitch': 0.13, 'IMU_yaw': 2.26, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.57, 'IMU_Acc_z': 10.62}
{'Time': 19460, 'Left_wheel_dist': -3990, 'Right_wheel_dist': 5285, 'IMU_roll': 0.07, 'IMU_pitch': 0.09, 'IMU_yaw': 2.36, 'IMU_Acc_x': 0.76, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 13.30}
{'Time': 19560, 'Left_wheel_dist': -3990, 'Right_wheel_dist': 5333, 'IMU_roll': 0.05, 'IMU_pitch': 0.10, 'IMU_yaw': 2.43, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 7.31}
