Fri Jul 31 19:09:05 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 17850, 'Left_wheel_dist': -4114, 'Right_wheel_dist': 4404, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.10, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.29}
{'Time': 17956, 'Left_wheel_dist': -4164, 'Right_wheel_dist': 4467, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.10, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.14}
{'Time': 18053, 'Left_wheel_dist': -4217, 'Right_wheel_dist': 4518, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.11, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.98}
{'Time': 18159, 'Left_wheel_dist': -4267, 'Right_wheel_dist': 4574, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.12, 'IMU_Acc_x': 0.89, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 10.16}
{'Time': 18256, 'Left_wheel_dist': -4317, 'Right_wheel_dist': 4635, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.13, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 8.34}
{'Time': 18354, 'Left_wheel_dist': -4363, 'Right_wheel_dist': 4692, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.14, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 10.45}
{'Time': 18452, 'Left_wheel_dist': -4413, 'Right_wheel_dist': 4742, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 1.15, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 11.83}
{'Time': 18558, 'Left_wheel_dist': -4465, 'Right_wheel_dist': 4799, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.16, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.75, 'IMU_Acc_z': 10.80}
{'Time': 18655, 'Left_wheel_dist': -4515, 'Right_wheel_dist': 4853, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 1.16, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.46}
{'Time': 18752, 'Left_wheel_dist': -4561, 'Right_wheel_dist': 4906, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.17, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 10.37}
{'Time': 18857, 'Left_wheel_dist': -4616, 'Right_wheel_dist': 4962, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 1.18, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 8.18}
{'Time': 18954, 'Left_wheel_dist': -4664, 'Right_wheel_dist': 5019, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.19, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 8.40}
{'Time': 19060, 'Left_wheel_dist': -4718, 'Right_wheel_dist': 5080, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.20, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 6.51}
{'Time': 19158, 'Left_wheel_dist': -4764, 'Right_wheel_dist': 5133, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.21, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 11.78}
{'Time': 19253, 'Left_wheel_dist': -4814, 'Right_wheel_dist': 5183, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.22, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.03}
{'Time': 19359, 'Left_wheel_dist': -4869, 'Right_wheel_dist': 5246, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.23, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 8.55}
{'Time': 19457, 'Left_wheel_dist': -4919, 'Right_wheel_dist': 5298, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.23, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 7.11}
{'Time': 19553, 'Left_wheel_dist': -4965, 'Right_wheel_dist': 5348, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 1.25, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.72}
