Fri Jul 31 17:39:25 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 15652, 'Left_wheel_dist': -3057, 'Right_wheel_dist': -2969, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.90}
{'Time': 15750, 'Left_wheel_dist': -3100, 'Right_wheel_dist': -3017, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.78}
{'Time': 15856, 'Left_wheel_dist': -3155, 'Right_wheel_dist': -3068, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.74}
{'Time': 15953, 'Left_wheel_dist': -3201, 'Right_wheel_dist': -3116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76}
{'Time': 16051, 'Left_wheel_dist': -3255, 'Right_wheel_dist': -3168, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.80}
{'Time': 16156, 'Left_wheel_dist': -3305, 'Right_wheel_dist': -3218, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.82}
{'Time': 16253, 'Left_wheel_dist': -3358, 'Right_wheel_dist': -3264, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.70}
{'Time': 16351, 'Left_wheel_dist': -3403, 'Right_wheel_dist': -3314, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.75}
{'Time': 16449, 'Left_wheel_dist': -3456, 'Right_wheel_dist': -3368, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.83}
{'Time': 16557, 'Left_wheel_dist': -3506, 'Right_wheel_dist': -3421, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.71}
{'Time': 16653, 'Left_wheel_dist': -3554, 'Right_wheel_dist': -3464, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.71}
{'Time': 16750, 'Left_wheel_dist': -3600, 'Right_wheel_dist': -3515, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.66}
{'Time': 16857, 'Left_wheel_dist': -3656, 'Right_wheel_dist': -3571, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.91}
{'Time': 16952, 'Left_wheel_dist': -3702, 'Right_wheel_dist': -3615, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.61}
{'Time': 17049, 'Left_wheel_dist': -3754, 'Right_wheel_dist': -3663, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.75}
