Fri Jul 31 19:15:19 2020
Program 0: 10s Stillstand
{'Time': 17557, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.79}
{'Time': 17658, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.78}
{'Time': 17759, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78}
{'Time': 17852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
{'Time': 17953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
{'Time': 18055, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.77}
{'Time': 18157, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78}
{'Time': 18258, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.81}
{'Time': 18359, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.78}
{'Time': 18461, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.78}
{'Time': 18554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.73}
{'Time': 18656, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.81}
{'Time': 18758, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.79}
{'Time': 18860, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.77}
{'Time': 18961, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78}
{'Time': 19054, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.71}
{'Time': 19155, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.73}
{'Time': 19257, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90}
{'Time': 19359, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.87}
{'Time': 19461, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.95}
{'Time': 19554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.84}
