Fri Jul 31 18:51:15 2020
Program 0: 10s Stillstand
{'Time': 13956, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 14047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.76}
{'Time': 14148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 14251, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 14351, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.74}
{'Time': 14452, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 14555, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.78}
{'Time': 14656, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.78}
{'Time': 14748, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.75}
{'Time': 14851, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.74}
{'Time': 14951, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.75}
{'Time': 15052, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.76}
{'Time': 15155, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.77}
{'Time': 15256, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.79}
{'Time': 15349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.80}
{'Time': 15452, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 15553, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 15654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.79}
{'Time': 15756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.75}
{'Time': 15857, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.79}
{'Time': 15949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.74}
{'Time': 16052, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 16153, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 16254, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 16356, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.79}
{'Time': 16458, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.75}
{'Time': 16552, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.77}
{'Time': 16654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.76}
{'Time': 16756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 16850, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.81}
{'Time': 16952, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 17055, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
{'Time': 17158, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.76}
{'Time': 17251, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.78}
{'Time': 17353, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 17456, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
{'Time': 17550, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.75}
{'Time': 17652, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
{'Time': 17756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78}
{'Time': 17858, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78}
{'Time': 17952, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 18055, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
{'Time': 18158, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.79}
{'Time': 18251, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 18355, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 18457, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 18551, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 18654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.78}
{'Time': 18757, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.76}
{'Time': 18860, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.77}
{'Time': 18953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.79}
{'Time': 19055, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 19158, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 19252, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.74}
{'Time': 19354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.78}
{'Time': 19458, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 19559, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.79}
