Fri Jul 31 18:50:35 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 16352, 'Left_wheel_dist': -3388, 'Right_wheel_dist': -3288, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 2.09}
{'Time': 16450, 'Left_wheel_dist': -3440, 'Right_wheel_dist': -3334, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.69, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 13.56}
{'Time': 16557, 'Left_wheel_dist': -3488, 'Right_wheel_dist': -3384, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 7.58}
{'Time': 16653, 'Left_wheel_dist': -3539, 'Right_wheel_dist': -3432, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 6.77}
{'Time': 16750, 'Left_wheel_dist': -3584, 'Right_wheel_dist': -3482, 'IMU_roll': -0.06, 'IMU_pitch': -0.01, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': -2.78}
{'Time': 16857, 'Left_wheel_dist': -3639, 'Right_wheel_dist': -3534, 'IMU_roll': -0.06, 'IMU_pitch': 0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.97}
{'Time': 16952, 'Left_wheel_dist': -3682, 'Right_wheel_dist': -3582, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 12.16}
{'Time': 17058, 'Left_wheel_dist': -3739, 'Right_wheel_dist': -3643, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 2.00}
{'Time': 17156, 'Left_wheel_dist': -3787, 'Right_wheel_dist': -3693, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.67, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 7.59}
{'Time': 17252, 'Left_wheel_dist': -3837, 'Right_wheel_dist': -3741, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 10.97}
{'Time': 17357, 'Left_wheel_dist': -3887, 'Right_wheel_dist': -3791, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 0.34}
{'Time': 17454, 'Left_wheel_dist': -3938, 'Right_wheel_dist': -3844, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 14.50}
{'Time': 17550, 'Left_wheel_dist': -3983, 'Right_wheel_dist': -3890, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 10.49}
{'Time': 17656, 'Left_wheel_dist': -4036, 'Right_wheel_dist': -3942, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 8.59}
{'Time': 17754, 'Left_wheel_dist': -4081, 'Right_wheel_dist': -3990, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': 2.07, 'IMU_Acc_y': 1.23, 'IMU_Acc_z': 15.05}
{'Time': 17850, 'Left_wheel_dist': -4129, 'Right_wheel_dist': -4040, 'IMU_roll': -0.07, 'IMU_pitch': -0.02, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 1.89}
{'Time': 17955, 'Left_wheel_dist': -4182, 'Right_wheel_dist': -4092, 'IMU_roll': -0.05, 'IMU_pitch': -0.03, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 7.80}
{'Time': 18053, 'Left_wheel_dist': -4234, 'Right_wheel_dist': -4138, 'IMU_roll': -0.05, 'IMU_pitch': -0.03, 'IMU_yaw': 5.89, 'IMU_Acc_x': 1.54, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 18.32}
{'Time': 18159, 'Left_wheel_dist': -4284, 'Right_wheel_dist': -4191, 'IMU_roll': -0.05, 'IMU_pitch': -0.06, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.92, 'IMU_Acc_y': -0.99, 'IMU_Acc_z': 6.97}
{'Time': 18256, 'Left_wheel_dist': -4332, 'Right_wheel_dist': -4243, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.05}
{'Time': 18354, 'Left_wheel_dist': -4376, 'Right_wheel_dist': -4289, 'IMU_roll': -0.05, 'IMU_pitch': -0.04, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.18, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 12.03}
{'Time': 18452, 'Left_wheel_dist': -4428, 'Right_wheel_dist': -4337, 'IMU_roll': -0.05, 'IMU_pitch': -0.03, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': -2.25}
{'Time': 18558, 'Left_wheel_dist': -4476, 'Right_wheel_dist': -4389, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 11.93}
