Fri Jul 31 17:32:06 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 16759, 'Left_wheel_dist': 3630, 'Right_wheel_dist': -3517, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.82}
{'Time': 16857, 'Left_wheel_dist': 3680, 'Right_wheel_dist': -3569, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.79}
{'Time': 16953, 'Left_wheel_dist': 3728, 'Right_wheel_dist': -3615, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.74}
{'Time': 17059, 'Left_wheel_dist': 3783, 'Right_wheel_dist': -3665, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.87}
{'Time': 17157, 'Left_wheel_dist': 3831, 'Right_wheel_dist': -3713, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.74}
{'Time': 17253, 'Left_wheel_dist': 3879, 'Right_wheel_dist': -3765, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.74}
{'Time': 17359, 'Left_wheel_dist': 3931, 'Right_wheel_dist': -3815, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.73}
{'Time': 17457, 'Left_wheel_dist': 3979, 'Right_wheel_dist': -3863, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.61}
{'Time': 17553, 'Left_wheel_dist': 4025, 'Right_wheel_dist': -3914, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.80}
{'Time': 17659, 'Left_wheel_dist': 4079, 'Right_wheel_dist': -3972, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.82}
