Fri Jul 31 17:33:17 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 16855, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.78}
{'Time': 16949, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.72}
{'Time': 17052, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.74}
{'Time': 17156, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.69}
{'Time': 17250, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.84}
{'Time': 17353, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.76}
{'Time': 17457, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.80}
{'Time': 17550, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.72}
{'Time': 17654, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.69}
{'Time': 17758, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80}
{'Time': 17852, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.55}
{'Time': 17955, 'Left_wheel_dist': -26, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.79}
{'Time': 18052, 'Left_wheel_dist': -43, 'Right_wheel_dist': -45, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.91}
{'Time': 18158, 'Left_wheel_dist': -87, 'Right_wheel_dist': -82, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.79}
{'Time': 18255, 'Left_wheel_dist': -141, 'Right_wheel_dist': -124, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.81}
{'Time': 18353, 'Left_wheel_dist': -196, 'Right_wheel_dist': -174, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.69}
{'Time': 18458, 'Left_wheel_dist': -259, 'Right_wheel_dist': -231, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.75}
{'Time': 18555, 'Left_wheel_dist': -316, 'Right_wheel_dist': -279, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.77}
{'Time': 18653, 'Left_wheel_dist': -375, 'Right_wheel_dist': -329, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.74}
{'Time': 18759, 'Left_wheel_dist': -442, 'Right_wheel_dist': -390, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
{'Time': 18856, 'Left_wheel_dist': -497, 'Right_wheel_dist': -442, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.57}
{'Time': 18953, 'Left_wheel_dist': -556, 'Right_wheel_dist': -492, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.92}
{'Time': 19058, 'Left_wheel_dist': -617, 'Right_wheel_dist': -545, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85}
{'Time': 19155, 'Left_wheel_dist': -621, 'Right_wheel_dist': -601, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 10.21}
{'Time': 19252, 'Left_wheel_dist': -632, 'Right_wheel_dist': -649, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.56}
{'Time': 19358, 'Left_wheel_dist': -632, 'Right_wheel_dist': -704, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.72}
{'Time': 19456, 'Left_wheel_dist': -634, 'Right_wheel_dist': -758, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.97}
{'Time': 19552, 'Left_wheel_dist': -638, 'Right_wheel_dist': -815, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.82}
