Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 15355, 'Left_wheel_dist': 2878, 'Right_wheel_dist': 2895, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 2.27, 'IMU_Acc_x': 1.58, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 10.49}
{'Time': 15452, 'Left_wheel_dist': 2924, 'Right_wheel_dist': 2948, 'IMU_roll': 0.06, 'IMU_pitch': 0.19, 'IMU_yaw': 2.42, 'IMU_Acc_x': 1.82, 'IMU_Acc_y': 0.68, 'IMU_Acc_z': 9.69}
{'Time': 15557, 'Left_wheel_dist': 2976, 'Right_wheel_dist': 3006, 'IMU_roll': 0.06, 'IMU_pitch': 0.20, 'IMU_yaw': 2.59, 'IMU_Acc_x': 2.01, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 6.95}
{'Time': 15653, 'Left_wheel_dist': 3020, 'Right_wheel_dist': 3054, 'IMU_roll': 0.03, 'IMU_pitch': 0.17, 'IMU_yaw': 2.75, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.97}
{'Time': 15751, 'Left_wheel_dist': 3070, 'Right_wheel_dist': 3105, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 2.92, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 8.56}
{'Time': 15857, 'Left_wheel_dist': 3122, 'Right_wheel_dist': 3166, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 3.10, 'IMU_Acc_x': 1.46, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 10.67}
{'Time': 15953, 'Left_wheel_dist': 3172, 'Right_wheel_dist': 3218, 'IMU_roll': 0.06, 'IMU_pitch': 0.15, 'IMU_yaw': 3.26, 'IMU_Acc_x': 1.39, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.41}
{'Time': 16051, 'Left_wheel_dist': 3218, 'Right_wheel_dist': 3266, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 3.42, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.87, 'IMU_Acc_z': 7.57}
{'Time': 16157, 'Left_wheel_dist': 3273, 'Right_wheel_dist': 3314, 'IMU_roll': 0.07, 'IMU_pitch': 0.14, 'IMU_yaw': 3.62, 'IMU_Acc_x': 1.21, 'IMU_Acc_y': 1.29, 'IMU_Acc_z': 7.06}
{'Time': 16254, 'Left_wheel_dist': 3318, 'Right_wheel_dist': 3364, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 3.78, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': 0.54, 'IMU_Acc_z': 12.92}
