Fri Jul 31 19:14:37 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 17954, 'Left_wheel_dist': -4199, 'Right_wheel_dist': -3508, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.74}
{'Time': 18061, 'Left_wheel_dist': -4249, 'Right_wheel_dist': -3563, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.68}
{'Time': 18159, 'Left_wheel_dist': -4302, 'Right_wheel_dist': -3621, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.83}
{'Time': 18257, 'Left_wheel_dist': -4348, 'Right_wheel_dist': -3676, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.84}
{'Time': 18356, 'Left_wheel_dist': -4400, 'Right_wheel_dist': -3726, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.76}
{'Time': 18454, 'Left_wheel_dist': -4446, 'Right_wheel_dist': -3776, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.80}
{'Time': 18562, 'Left_wheel_dist': -4502, 'Right_wheel_dist': -3837, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.75}
{'Time': 18659, 'Left_wheel_dist': -4548, 'Right_wheel_dist': -3887, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.76}
{'Time': 18757, 'Left_wheel_dist': -4598, 'Right_wheel_dist': -3938, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.69}
{'Time': 18855, 'Left_wheel_dist': -4646, 'Right_wheel_dist': -3994, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.74}
{'Time': 18963, 'Left_wheel_dist': -4703, 'Right_wheel_dist': -4053, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.82}
{'Time': 19061, 'Left_wheel_dist': -4749, 'Right_wheel_dist': -4103, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.81}
{'Time': 19160, 'Left_wheel_dist': -4799, 'Right_wheel_dist': -4151, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.74}
{'Time': 19257, 'Left_wheel_dist': -4845, 'Right_wheel_dist': -4206, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.78}
{'Time': 19355, 'Left_wheel_dist': -4895, 'Right_wheel_dist': -4258, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.74}
{'Time': 19463, 'Left_wheel_dist': -4947, 'Right_wheel_dist': -4313, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81}
{'Time': 19559, 'Left_wheel_dist': -4997, 'Right_wheel_dist': -4365, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.14}
